,index,0
703,call.,1
704,believe,3
705,need.,2
706,lakshmi,5
707,swamy.,3
708,pretty,23
709,dead.,1
710,rohan,3
711,ravindra,1
712,kadam.,1
713,ankita,5
714,biswas.,1
715,anita.,2
716,dear.,1
717,tell,7
718,prayag,1
719,verma?,1
720,aditya,1
721,marat.,1
722,sourishkumaar,1
723,karajan.,1
724,punjab,1
725,gopal.,1
726,care.,1
727,shouldn't,5
728,pankaj.,2
729,dashlane,1
730,mathumitha.,1
731,meter.,1
732,satish.,1
733,baby,1
734,trinity.,1
735,akash.,2
736,john.,1
737,camera,1
738,alright,5
739,between.,2
740,pulse,40
741,certain,11
742,doing,28
743,check.,8
744,thought,27
745,generally,3
746,talking,19
747,felt,2
748,common,3
749,direction,4
750,whole,8
751,process,12
752,process.,3
753,blocking,2
754,becoming,3
755,tractive,1
756,there's,38
757,overall,4
758,burnt,1
759,built,3
760,sessions,20
761,too,9
762,long.,2
763,tried,6
764,changes,10
765,structured,1
766,decided,1
767,here.,21
768,failed,1
769,pre,6
770,service,6
771,taken,13
772,conduct,1
773,participation,5
774,presuming,3
775,service.,2
776,speak,6
777,interactions,2
778,sure,29
779,groups,5
780,prepared,2
781,speak.,5
782,trying,16
783,things,60
784,do.,8
785,screen,8
786,i'll,34
787,checks,3
788,part,33
789,13th,2
790,seen,9
791,observed,2
792,equally,3
793,resolution,1
794,tool.,3
795,helped,2
796,institutionalized.,2
797,trialling,1
798,noticed,1
799,policies,7
800,aspects,6
801,feedback,29
802,employees,6
803,pca,21
804,kickstarted,1
805,infused,1
806,understand,12
807,goal,6
808,brings,2
809,targeted,2
810,approach.,1
811,pushed,1
812,towards,9
813,reason.,2
814,ahead.,18
815,shared,7
816,anything,74
817,nothing,16
818,mean.,3
819,speaking,6
820,let,17
821,again?,4
822,happening.,6
823,now?,8
824,sanjay,3
825,black,1
826,nevertheless,2
827,fine.,7
828,shown,1
829,done.,9
830,fast.,1
831,structuring,2
832,of.,10
833,lose,1
834,track,6
835,it?,17
836,credit,1
837,tool,5
838,change,18
839,within,10
840,employees.,2
841,rolled,5
842,member,3
843,walgreens,1
844,increased,3
845,was.,5
846,valve,1
847,introduction,1
848,gone,5
849,connected?,1
850,shut,1
851,rejoin,2
852,no.,22
853,good.,22
854,am.,2
855,doesn't,16
856,show,9
857,anything.,9
858,this?,9
859,better?,3
860,lag.,1
861,really.,4
862,laptop,3
863,device.,1
864,here?,6
865,accept.,1
866,recording,3
867,happen.,2
868,continue,5
869,yasha.,1
870,jen.,1
871,seed,1
872,needed,4
873,sometime.,1
874,excel,5
875,aws,8
876,errors,1
877,procedure,3
878,jdbc,1
879,connections,1
880,all.,13
881,anyone,22
882,future,8
883,them,41
884,people.,5
885,exactly.,3
886,area?,1
887,python,6
888,pittsburg,1
889,important.,3
890,partnering,1
891,someone.,3
892,companies,1
893,beneficial,2
894,just?,2
895,passed,3
896,20,2
897,least?,1
898,waiters,1
899,randomly,3
900,days.,6
901,thank,148
902,weightage,1
903,encouragement.,1
904,saw,4
905,compounds.,1
906,got.,2
907,further,4
908,thoughts,15
909,sir.,9
910,adobe,1
911,entered,1
912,4:45,1
913,couldn't,6
914,join.,5
915,sir,2
916,percent.,1
917,points,25
918,existing,5
919,proposed,1
920,carry,7
921,forward,18
922,balance,3
923,have.,12
924,during,6
925,still?,1
926,join?,1
927,join,12
928,14,4
929,account.,1
930,expired,1
931,december,1
932,31st.,1
933,forcing,1
934,either,10
935,forwarded,2
936,fit.,1
937,discount,1
938,3,4
939,7,3
940,beep,1
941,beep.,1
942,giving,13
943,salary?,1
944,2.,2
945,shining.,1
946,visible.,1
947,left,4
948,cash,1
949,projects,24
950,intense,1
951,job.,3
952,provision,3
953,sort,5
954,back,19
955,pay?,1
956,called,4
957,forward.,5
958,retention,2
959,thing?,1
960,danny,1
961,1?,1
962,12th,1
963,why?,1
964,anyway,4
965,i.,7
966,once,28
967,pulsing,1
968,innings,4
969,slightly,2
970,format,3
971,wherein,7
972,for.,2
973,minutes.,6
974,schedule,5
975,longer,4
976,later,6
977,statement.,1
978,recorded,1
979,solved,2
980,similar.,1
981,deeper,1
982,discussion,14
983,complete,8
984,self,3
985,driven,2
986,wide,3
987,event,6
988,facility.,1
989,include,5
990,courses,11
991,reimbursement,3
992,scheme,1
993,coursera,2
994,standard,2
995,ones,6
996,courses.,1
997,machine,2
998,learning,21
999,out.,11
1000,here,27
1001,quick,7
1002,names,4
1003,name,6
1004,domain,3
1005,issue,15
1006,lead,8
1007,less,2
1008,key,4
1009,similar,3
1010,them.,13
1011,curious,3
1012,intentional,1
1013,have?,1
1014,i've,20
1015,intentionally.,1
1016,unlikely,1
1017,completely?,1
1018,connor,1
1019,pollyanna,1
1020,nice,13
1021,compose?,1
1022,compost,2
1023,earlier,10
1024,huh?,2
1025,he's,4
1026,rested,1
1027,his,3
1028,combos,2
1029,combos?,1
1030,told,8
1031,confused.,1
1032,far,4
1033,don't.,3
1034,speaking.,4
1035,data.,2
1036,please.,15
1037,manager.,2
1038,idea,20
1039,applies.,1
1040,do?,1
1041,what.,3
1042,man,2
1043,needs,11
1044,bye,3
1045,clock,28
1046,bit.,3
1047,mildly,1
1048,annoying.,1
1049,most,15
1050,beyond,1
1051,12,2
1052,and.,27
1053,system.,6
1054,convinced,1
1055,essentially,1
1056,weekends,2
1057,necessary?,2
1058,otherwise,6
1059,leadership,36
1060,development,16
1061,country,1
1062,breeds,1
1063,so?,1
1064,solutioning,1
1065,solving,3
1066,meetings,4
1067,witness,1
1068,how.,1
1069,managers,4
1070,momos,1
1071,problem.,8
1072,complicated,1
1073,exposure,3
1074,problems,5
1075,place,11
1076,joins,1
1077,information,4
1078,always,10
1079,sit,3
1080,walk,1
1081,ideation,1
1082,brainstorming,1
1083,exercise,2
1084,interesting,4
1085,discuss,40
1086,key.,2
1087,poll?,2
1088,ronya.,1
1089,document.,5
1090,achieve,2
1091,jayita,2
1092,sends,1
1093,connection,2
1094,stacked,1
1095,help,28
1096,architecture,3
1097,diagram,2
1098,stack,2
1099,developer.,1
1100,call,8
1101,architectural,1
1102,diagrams.,1
1103,each,19
1104,mainframe,1
1105,in?,3
1106,how?,2
1107,where?,1
1108,architected,1
1109,items,4
1110,notes.,1
1111,guy.,2
1112,case,8
1113,born,1
1114,developers,1
1115,lot.,3
1116,newborn,1
1117,deserve,1
1118,prefer,2
1119,mail,11
1120,everybody.,4
1121,onwards,3
1122,cater,1
1123,dump,1
1124,another.,2
1125,hmm,2
1126,should.,2
1127,numbers,1
1128,gave.,1
1129,book,1
1130,made.,1
1131,additionally,1
1132,point?,3
1133,10,13
1134,communications,5
1135,as.,1
1136,management,11
1137,difficult,7
1138,manage,5
1139,communication,8
1140,skilled,1
1141,new.,1
1142,situation,7
1143,solution.,1
1144,be?,1
1145,missed,4
1146,point.,14
1147,like?,1
1148,play,1
1149,developer,5
1150,move,7
1151,consider,4
1152,not?,3
1153,think.,8
1154,today.,6
1155,it's.,10
1156,open,23
1157,source,6
1158,contribution,2
1159,contribute,8
1160,services,2
1161,platform,11
1162,where.,2
1163,collaboration.,2
1164,collaborate,1
1165,globe,1
1166,perspective,3
1167,exposure.,1
1168,basic,5
1169,view,6
1170,developing,4
1171,consideration,1
1172,apply.,1
1173,skills.,2
1174,agile.,1
1175,saturday,1
1176,telling?,1
1177,baby.,1
1178,button,1
1179,feel,20
1180,good?,4
1181,picture,3
1182,streams,1
1183,under?,1
1184,own.,1
1185,looking,11
1186,blank,1
1187,space.,1
1188,great,17
1189,then.,8
1190,exit,1
1191,coding,1
1192,mute,4
1193,recording.,1
1194,insane,1
1195,happened.,3
1196,noted,4
1197,one.,4
1198,brought,4
1199,feedback.,5
1200,listing,1
1201,initiatives,4
1202,through.,3
1203,queries,3
1204,salary,2
1205,stuff.,3
1206,introduce,4
1207,visa,1
1208,improvements,3
1209,incidents,1
1210,reduced,1
1211,today's,9
1212,topic,34
1213,items.,1
1214,collective,3
1215,knowledge.,2
1216,ring,1
1217,came,3
1218,discussion.,3
1219,filled,1
1220,prepare,3
1221,survey?,1
1222,survey,6
1223,any?,1
1224,about?,1
1225,talked,4
1226,about.,2
1227,setting,2
1228,ankita.,2
1229,expect?,1
1230,definition,2
1231,happen?,1
1232,ask,20
1233,projects?,1
1234,anybody,22
1235,chip,2
1236,contribute?,1
1237,video?,2
1238,home,4
1239,loan,1
1240,interrupt,2
1241,problem?,1
1242,known,3
1243,becomes,2
1244,easy,7
1245,repair,1
1246,understand.,3
1247,fine,4
1248,won't,5
1249,written,3
1250,wow,1
1251,various,2
1252,sets,2
1253,templates,3
1254,ahead,21
1255,send,7
1256,update,5
1257,institutionalized,1
1258,across,7
1259,suggestions?,5
1260,arya.,1
1261,suggesting?,1
1262,fair,1
1263,enough.,1
1264,parking,1
1265,mostly,1
1266,exceed,1
1267,5-10,1
1268,minutes,11
1269,couple,10
1270,cover,3
1271,spoken,3
1272,e-mail,6
1273,thoughts.,3
1274,frame,1
1275,skip,2
1276,floated,1
1277,is.,12
1278,upscaling.,3
1279,else?,14
1280,wish,1
1281,say?,2
1282,cancel.,1
1283,harish.,1
1284,naresh.,1
1285,online,3
1286,man.,1
1287,part?,2
1288,matching,1
1289,points.,5
1290,especially,8
1291,tenured,1
1292,compared,4
1293,joiners.,1
1294,making,5
1295,nearby.,1
1296,backups,1
1297,created.,1
1298,alright.,4
1299,anymore,2
1300,suggestions.,4
1301,feasible,2
1302,conducted,4
1303,technologies,3
1304,power.,1
1305,subject,1
1306,matter,2
1307,expert,2
1308,hand.,2
1309,questions,14
1310,demonstrate,1
1311,sme,1
1312,curve,1
1313,both,6
1314,half,5
1315,45,1
1316,minute,2
1317,completely,8
1318,optional,1
1319,week.,5
1320,help.,6
1321,thoughts?,6
1322,spoke,2
1323,madhumita?,1
1324,marked,1
1325,absent,1
1326,rita.,1
1327,thought.,4
1328,colon.,1
1329,arish.,1
1330,parish.,1
1331,upskilling?,1
1332,detail?,1
1333,detail,2
1334,given,26
1335,quite,9
1336,bad,3
1337,enough,4
1338,discussed,14
1339,technical,4
1340,things.,8
1341,team.,8
1342,faced,7
1343,somebody,9
1344,beautiful,1
1345,innovative,5
1346,replied?,1
1347,anecdotes,3
1348,explaining,1
1349,theoretical,1
1350,coffee,1
1351,kinds,1
1352,encourage,2
1353,successfully,4
1354,documented,2
1355,shared.,2
1356,eventually,1
1357,absolutely.,2
1358,trigger,1
1359,ways,4
1360,innovatively.,1
1361,opens,1
1362,mind.,4
1363,today,12
1364,policies.,3
1365,ugly.,2
1366,happened,7
1367,suggest,5
1368,see?,2
1369,mm-hmm.,11
1370,side,15
1371,expect,1
1372,independence,1
1373,india.,1
1374,holiday,6
1375,correct,3
1376,precedence.,1
1377,west,1
1378,bengal,1
1379,durga,1
1380,puja,1
1381,versus,1
1382,festivals,2
1383,south.,1
1384,disparities.,1
1385,prevent.,1
1386,adjust,1
1387,calendar.,2
1388,whether,6
1389,gives,3
1390,tuned.,1
1391,raised,3
1392,confusion,1
1393,side.,18
1394,offshore,1
1395,locations,2
1396,leeway,1
1397,properly,1
1398,communicating,1
1399,holidays,4
1400,next.,4
1401,lapsed.,1
1402,recharged,1
1403,enthusiasm,1
1404,wherever,2
1405,opportunity,15
1406,enjoy.,1
1407,work.,10
1408,conscious,1
1409,with.,4
1410,idea.,2
1411,25,1
1412,beginning,2
1413,wordings,1
1414,sudden,3
1415,organization.,2
1416,aware,13
1417,systematically,1
1418,consume,3
1419,experience.,2
1420,happens,4
1421,agree.,2
1422,extent,1
1423,covered,7
1424,carryforward,1
1425,limited,2
1426,case.,1
1427,it'll,4
1428,50,2
1429,consumed.,1
1430,you'll,3
1431,back-to-back,1
1432,back.,2
1433,valid,6
1434,sales,1
1435,lakshit,2
1436,facilities,2
1437,provided,5
1438,structure?,1
1439,research,4
1440,answer,4
1441,quiet?,1
1442,quite.,1
1443,white.,2
1444,guys?,4
1445,aditya?,1
1446,question?,2
1447,noise,1
1448,couldn't.,1
1449,listen,4
1450,big.,1
1451,overspend,1
1452,much.,15
1453,became,1
1454,employee,12
1455,meter,1
1456,understanding,4
1457,aditya.,1
1458,tricky,1
1459,situation.,4
1460,adequate,1
1461,harm,3
1462,writing,7
1463,chart,2
1464,approved,1
1465,exceptional,2
1466,basis,4
1467,town,1
1468,explore,4
1469,possibility.,1
1470,per,7
1471,probation.,1
1472,matter.,1
1473,avail,1
1474,exception,1
1475,approval,2
1476,supervisor,1
1477,hr.,1
1478,approve.,1
1479,policies?,1
1480,pulses?,1
1481,devolved,1
1482,control,1
1483,page.,3
1484,write,7
1485,written.,1
1486,pages,3
1487,edits,1
1488,edited,1
1489,10th,1
1490,15th,1
1491,history,1
1492,logs.,1
1493,everybody,29
1494,nobody,4
1495,slowly,2
1496,talk?,1
1497,survey.,2
1498,three.,3
1499,ensure,1
1500,3.,3
1501,far.,3
1502,suggest?,3
1503,aria.,1
1504,tea.,1
1505,geeta.,1
1506,skilling,6
1507,skilling.,2
1508,pictures.,1
1509,detail.,1
1510,aspect,3
1511,first.,1
1512,fun,12
1513,video.,3
1514,screen.,3
1515,close,4
1516,upskilling.,10
1517,expertise.,1
1518,permit,1
1519,standpoint.,1
1520,killing.,1
1521,killing,5
1522,introduce.,1
1523,class,2
1524,peoples,2
1525,time?,2
1526,home.,2
1527,source.,2
1528,suggest.,1
1529,exposed,1
1530,collaborative,2
1531,substring,1
1532,asset,1
1533,members,2
1534,tack,1
1535,stream,1
1536,specialization,1
1537,subscribed,1
1538,programs,8
1539,platforms,3
1540,live,1
1541,systematic,1
1542,pulses.,1
1543,naresh,4
1544,ac,1
1545,clicking,1
1546,questions.,5
1547,assignment,3
1548,sense.,4
1549,replace,1
1550,mean?,1
1551,here's,1
1552,sharp,1
1553,eye,1
1554,hold,6
1555,launch,9
1556,justice.,1
1557,running,1
1558,launch.,1
1559,amber,2
1560,called.,1
1561,70%,1
1562,puts,1
1563,567.,1
1564,correct.,7
1565,vishal,1
1566,behind,4
1567,general.,1
1568,performed,2
1569,complete.,2
1570,blind,1
1571,yellow,1
1572,blind.,1
1573,responses.,2
1574,19.,2
1575,come.,3
1576,missed?,1
1577,attendance,1
1578,14th,1
1579,over.,1
1580,yourself,6
1581,organization,6
1582,you've,2
1583,helping,6
1584,upskill,2
1585,aws.,1
1586,followed,1
1587,ever.,1
1588,alerted,1
1589,certification?,1
1590,studied,1
1591,certificate.,1
1592,careful,1
1593,collecting,1
1594,ups,1
1595,killings,1
1596,reassure,1
1597,hey.,3
1598,hi.,5
1599,person.,5
1600,rather,10
1601,scale,3
1602,sometimes.,1
1603,along,5
1604,ml,1
1605,demand,2
1606,gcpl.,1
1607,parts,2
1608,focus,6
1609,srinidi.,1
1610,field,2
1611,upscale,2
1612,appreciate,2
1613,choose,4
1614,certifications,2
1615,hundreds,1
1616,specifically,2
1617,irrespective,5
1618,into.,1
1619,useful.,1
1620,srinidi,1
1621,discussing,14
1622,details,3
1623,contact,7
1624,stuck,2
1625,somewhere,5
1626,grip,1
1627,doubt,3
1628,umm,8
1629,see.,6
1630,many?,1
1631,viswanath,1
1632,verbal,1
1633,building,5
1634,according,3
1635,accumulated,2
1636,attend,9
1637,able,19
1638,personal,3
1639,compose.,2
1640,keka.,2
1641,class.,2
1642,suggestion,8
1643,sequel,9
1644,apart,18
1645,bytes,2
1646,touch,2
1647,projects.,4
1648,clubs,24
1649,inputs,5
1650,raj,6
1651,better.,5
1652,patch,2
1653,mentors,1
1654,upcoming,8
1655,advanced,1
1656,levels,2
1657,mentor.,1
1658,player,1
1659,stand.,1
1660,mute.,4
1661,bangalore,4
1662,office.,10
1663,30,2
1664,initial.,1
1665,selling,1
1666,initiative,1
1667,launched,8
1668,portal.,1
1669,pc,3
1670,handy,1
1671,qualities,1
1672,usually,4
1673,access,10
1674,quality.,1
1675,improve,5
1676,myself,1
1677,qualities.,1
1678,lost,4
1679,network.,1
1680,rejoined.,1
1681,nothing.,5
1682,internet.,4
1683,interact,5
1684,other.,6
1685,joining,1
1686,helpless,1
1687,jody.,1
1688,others.,7
1689,turn,4
1690,getting.,2
1691,discuss?,1
1692,catchment.,1
1693,opinion,4
1694,discuss.,4
1695,quickly,7
1696,jump,1
1697,which.,1
1698,issues,9
1699,ones.,1
1700,revert,2
1701,ave,1
1702,ideas,8
1703,implement,6
1704,lego,1
1705,your.,4
1706,pointing,1
1707,upscaling?,1
1708,development.,6
1709,ideas.,1
1710,related,8
1711,interest.,2
1712,newer,2
1713,technologies.,1
1714,facilitate,1
1715,seeing,4
1716,intranet,4
1717,referred,1
1718,our.,1
1719,shoraj,7
1720,piyush,2
1721,questionary,1
1722,add?,2
1723,mine,2
1724,mentioned.,1
1725,priced,1
1726,rate.,1
1727,partnership,1
1728,udemy,2
1729,materials.,1
1730,add.,4
1731,looking.,1
1732,technology.,1
1733,tagging,1
1734,parameters.,1
1735,intentional.,2
1736,random,2
1737,generator,1
1738,gave,1
1739,medical,3
1740,claims.,1
1741,unmarried,1
1742,claim,1
1743,parents.,2
1744,married,2
1745,down.,6
1746,sometime,1
1747,geeta,1
1748,shivram.,1
1749,applying,2
1750,drop,1
1751,mail.,1
1752,taken.,2
1753,pass,5
1754,information.,1
1755,encashment,1
1756,hopes,1
1757,portion,1
1758,maximum,1
1759,encashed,1
1760,blowing,1
1761,50%,1
1762,leaves?,1
1763,issue?,2
1764,request,4
1765,write.,1
1766,pop-up,1
1767,infection.,1
1768,isolated,1
1769,finally,3
1770,poll,8
1771,ratings,1
1772,wrap,1
1773,up.,12
1774,received,4
1775,summarize,1
1776,forth,1
1777,additional,2
1778,included,1
